"","BAM","PA_CF_1","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"2203",14,25.39816667,71.93333333,75.56666667,"6",12.6737041473389,12.8968181610107,12.9286098480225
"2204",8.8,19.19666667,71.56666667,75.03333333,"7",7.63927173614502,7.50062274932861,7.6339316368103
"2205",7.1,14.24,70.4,75.7,"8",5.66375732421875,6.09417152404785,6.18052434921265
"2206",-1.6,4.1735,62.86666667,79.66666667,"9",2.64776277542114,3.04507541656494,3.09045267105103
"2207",-1.1,7.7365,54.96666667,83.66666667,"10",6.36219120025635,6.34926509857178,6.45722198486328
"2208",9.2,13.137,52.9,84.03333333,"11",10.6282958984375,10.506175994873,10.5533199310303
"2209",5,11.84683333,54,83.43333333,"12",9.85859489440918,9.77828693389893,9.88064670562744
"2210",7,9.351333332,50.26666667,85.8,"13",8.93475341796875,9.17846298217773,8.96579360961914
"2211",-0.5,7.274333334,53.93333333,85.4,"14",7.66146183013916,8.02209758758545,7.94209814071655
"2212",17.1,13.283,56.46666667,82.66666667,"15",11.9429292678833,11.5337238311768,11.7980365753174
"2213",21.6,22.1575,59.96666667,81.13333333,"16",16.6937503814697,16.5623970031738,16.6058979034424
"2214",13.1,18.45766667,59,81.13333333,"17",15.8223276138306,15.9532260894775,15.8223342895508
"2215",9,16.764,61,80.06666667,"18",15.065128326416,15.001916885376,15.1002492904663
"2216",15,19.76716667,67.26666667,76.63333333,"19",17.9010391235352,17.427942276001,17.3223266601562
"2217",10.5,16.06333334,67.3,77.5,"20",13.651255607605,13.7762680053711,13.8171863555908
"2218",8.9,11.065,70.8,75.56666667,"21",9.7690315246582,9.79268455505371,9.79633045196533
"2219",7.6,8.512,72.33333333,75.06666667,"22",7.18364858627319,7.27683639526367,7.16037845611572
"2220",5.7,7.850333333,72.03333333,75.13333333,"23",5.54457473754883,5.89345741271973,5.88030958175659
"2221",10.1,14.19133333,70.83333333,75.73333333,"0",8.54474258422852,8.62039756774902,8.64373779296875
"2222",9.6,12.476,71.13333333,75.06666667,"1",6.82167863845825,7.13373327255249,7.20929718017578
"2223",15.6,14.26916667,71.36666667,75,"2",7.71093273162842,7.77333545684814,7.89633655548096
"2224",11.1,12.91083334,71.36666667,74.93333333,"3",6.2112889289856,6.70909452438354,6.79539585113525
"2225",16.7,15.41316667,71.23333333,74.56666667,"4",7.721595287323,8.17795658111572,8.1995964050293
"2226",16.8,18.221,71.33333333,74.13333333,"5",9.31615257263184,9.76496887207031,9.91521263122559
"2227",18.3,22.68066667,70.73333333,74.2,"6",11.2077913284302,11.3105564117432,11.4954357147217
"2228",24.5,33.05716667,67.66666667,75.9,"7",15.5199766159058,15.2216567993164,15.4051399230957
"2229",14.6,21.87383333,62.06666667,78.5,"8",10.3850545883179,10.7242650985718,10.8808622360229
"2230",6,13.095,57.4,81,"9",7.89511394500732,8.15372753143311,8.28591918945312
"2231",5.9,11.47916667,50.56666667,84.96666667,"10",8.6921558380127,8.741943359375,8.77879047393799
"2232",8.5,9.071833334,45.7,87.03333333,"11",8.83339500427246,8.86467742919922,8.84368991851807
"2233",6.3,9.2385,46.13333333,87.06666667,"12",8.91745567321777,9.13875865936279,9.01518249511719
"2234",7.7,8.843333334,41.73333333,89.73333333,"13",9.19549942016602,9.28298759460449,9.28619194030762
"2235",7.3,8.995833333,38.7,91.76666667,"14",9.56410026550293,9.78212928771973,9.92541694641113
"2236",12.9,8.3255,37.1,92.13333333,"15",10.4455614089966,10.2867231369019,10.4731569290161
"2237",13.9,10.40833334,41.3,89.33333333,"16",11.3813791275024,11.5264558792114,11.526554107666
"2238",12.9,8.847333334,47.73333333,84.1,"17",11.1822271347046,11.3082075119019,11.3459615707397
"2239",11.5,10.69566667,54,81.1,"18",12.110933303833,12.333179473877,12.2482080459595
"2240",11,12.2755,58.26666667,80.76666667,"19",14.3348340988159,14.0035934448242,13.8862400054932
"2241",27.3,27.33333333,59.86666667,80.1,"20",20.3279190063477,20.4091320037842,20.4321193695068
"2242",24.7,30.8825,65.76666667,78.06666667,"21",21.034948348999,20.8261280059814,20.9031677246094
"2243",20,29.24316667,65.4,77.26666667,"22",19.0491771697998,18.7842750549316,18.8694400787354
"2244",18.6,20.223,64.56666667,76.93333333,"23",12.814600944519,13.0571002960205,13.0776481628418
"2245",16,16.9995,63.1,76.93333333,"0",10.534761428833,10.5985584259033,10.6547374725342
"2246",11,11.88082184,64.43333333,76.1,"1",6.87359666824341,6.97328948974609,7.3086462020874
"2247",11.4,10.1245,65.2,75.8,"2",5.76934671401978,5.95470571517944,6.03306484222412
"2248",8.4,11.8895,68.16666667,74.66666667,"3",5.81266593933105,6.26440858840942,6.42606639862061
"2249",10.3,15.54033333,70.4,73.96666667,"4",7.82340383529663,8.28513431549072,8.30490016937256
"2250",9.4,7.819166667,68.56666667,73.56666667,"5",3.70817756652832,4.36385726928711,4.42432737350464
"2251",12.6,15.51183334,68.66666667,74,"6",7.35550212860107,7.63260459899902,7.72494316101074
"2252",12.9,22.13616667,67.16666667,74.9,"7",9.49477291107178,10.2927980422974,9.48788833618164
"2253",11.6,21.95483333,63.33333333,77.1,"8",10.3318042755127,10.7417783737183,10.8181838989258
"2254",8.2,14.365,52.76666667,82.46666667,"9",8.87580394744873,9.31878471374512,9.28363990783691
"2255",9.3,10.673,47.06666667,84.8,"10",8.43054485321045,8.51351928710938,8.54629325866699
