"","BAM","PA_CF_ATM","PA_RH","PA_Temp","hour","h2o_xgb","cvpreds","h2o_xgb_m"
"209",33.9,28.82888889,39.88888889,91.17777778,"17",26.7228202819824,24.6345138549805,27.4940090179443
"210",28.5,27.1583721,55.23255814,85.41860465,"18",24.6136035919189,22.8748397827148,25.0641250610352
"211",10.6,17.75613637,69.81818182,78.52272727,"19",11.5860080718994,14.5918436050415,11.5852365493774
"212",13.6,18.37733333,71.08888889,77.02222222,"20",15.065185546875,14.9127254486084,15.1463451385498
"213",15.8,17.74133333,70.46666667,77,"21",15.8190088272095,14.5485620498657,14.9779634475708
"214",13.3,15.87566667,68.4,77,"22",14.6994771957397,12.1995859146118,13.5320844650269
"215",18.4,15.807,66.84444444,77,"23",13.0853176116943,11.1339063644409,13.3465166091919
"216",13.9,16.11671717,67.08888889,77,"0",13.1252565383911,12.5672998428345,13.3716373443604
"217",12.6,14.34911111,67.22222222,77,"1",13.2651996612549,12.6540460586548,12.1942052841187
"218",14.4,21.56293479,67.84782609,76.34782609,"2",16.9363842010498,16.1953887939453,15.7073659896851
"219",12,14.53811111,67.86666667,76,"3",12.1065034866333,11.0235061645508,11.5566740036011
"220",7.8,13.35933334,67.68888889,76,"4",10.723876953125,10.4494752883911,10.5253772735596
"221",12.3,19.91655556,67.88888889,75.22222222,"5",14.594820022583,14.9285945892334,14.5904312133789
"222",17.2,23.17988889,68.22222222,75,"6",15.4932336807251,14.5915765762329,15.1021280288696
"223",21.5,34.02533334,65.62222222,76.35555556,"7",20.7307167053223,21.8416061401367,20.9038677215576
"224",21.1,26.24977778,61.57777778,78,"8",12.7786769866943,15.5723628997803,16.6868209838867
"225",10.4,16.91622222,59.44444444,79.31111111,"9",12.2604055404663,12.5174751281738,11.5821371078491
"226",21.5,15.45055556,52.97777778,82.84444444,"10",11.6603746414185,12.2917795181274,14.0520629882812
"227",16.3,16.64955556,50.75555556,84.51111111,"11",14.8465442657471,14.1119441986084,15.2748079299927
"228",13.7,15.34611111,45.4,87.93333333,"12",13.6859750747681,13.5069313049316,13.6499919891357
"229",14.4,16.13322223,45.06666667,88.28888889,"13",15.2877025604248,14.4145708084106,14.7945575714111
"230",18.2,13.64466667,42.6,89.97777778,"14",14.2683877944946,12.6304836273193,13.486252784729
"231",13.3,11.28211111,44.91111111,87.11111111,"15",14.1386365890503,14.2534427642822,14.3691987991333
"232",15.6,12.52633334,47.06666667,86.33333333,"16",13.3386249542236,13.3932685852051,14.0698623657227
"233",11.2,10.022,48.28888889,85.66666667,"17",10.177433013916,11.1279649734497,11.1440935134888
"234",16,13.10455556,50.46666667,84.13333333,"18",14.1940851211548,15.4573335647583,15.5049886703491
"235",20,17.81888889,55.06666667,81.91111111,"19",21.0846138000488,15.2691106796265,20.065013885498
"236",13,16.27255556,57.15555556,80.22222222,"20",14.8790531158447,15.2635936737061,14.516077041626
"237",13,11.48688889,59.48888889,78.55555556,"21",11.0321598052979,9.84599208831787,10.8376979827881
"238",10.4,9.776333334,62.86666667,77.73333333,"22",9.42797374725342,9.04996395111084,8.79409885406494
"239",14,12.25611112,66.42222222,77.08888889,"23",10.8966617584229,9.68301677703857,11.1012544631958
"240",9.7,10.81344445,66.84444444,76.97777778,"0",10.4915266036987,9.77943992614746,9.96803951263428
"241",11.2,10.62033333,66.4,76.97777778,"1",10.7578830718994,9.66550540924072,10.2405624389648
"242",7.8,9.723320707,66.13636364,76.09090909,"2",8.79225444793701,8.96307754516602,8.37510681152344
"243",12.6,13.09239131,66.86956522,76.04347826,"3",11.5191841125488,10.9446973800659,10.7995471954346
"244",13.3,15.05928572,67,76,"4",12.2261648178101,11.6130905151367,11.8111524581909
"245",13,16.46511111,67.26666667,75.17777778,"5",13.1748075485229,13.5898923873901,12.8873634338379
"246",17.1,24.24011111,67.57777778,75.08888889,"6",16.796314239502,15.9742813110352,17.228479385376
"247",26.2,33.68566667,65.68888889,76,"7",21.7772083282471,20.4175243377686,21.0983409881592
"248",14.5,23.50077778,62.66666667,77.15555556,"8",14.7757549285889,16.0854377746582,14.917932510376
"249",16.9,19.38744445,55.06666667,80.84444444,"9",13.1576347351074,14.0357351303101,13.7633361816406
"250",15.3,19.82611111,54.22222222,81.31111111,"10",15.4656734466553,15.979793548584,15.3409233093262
"251",15.9,21.103,50.6,83.53333333,"11",18.5474624633789,16.3551292419434,16.3118667602539
"252",18.1,20.09522222,46.57777778,85.97777778,"12",16.4885673522949,16.038890838623,15.464973449707
"253",19.7,16.853,45.95555556,86.68888889,"13",16.6922149658203,14.6482372283936,15.640308380127
"254",18,16.98011112,48.91111111,84.82222222,"14",16.9390888214111,16.1096000671387,16.9949054718018
"255",14.6,11.17777778,48.84444444,84.26666667,"15",13.1269464492798,14.4998798370361,14.2991142272949
"256",17.9,13.77144445,48.08888889,84.77777778,"16",14.93763256073,13.6871147155762,14.2197303771973
"257",15.7,14.41715909,49.54545455,83.38636364,"17",14.8164577484131,15.5915508270264,15.1646671295166
"258",17.3,20.58457265,56.25,80.55555556,"18",17.9679298400879,16.1745376586914,17.9020214080811
"259",17.7,18.80637561,56,79.21621622,"19",19.1188125610352,15.8689088821411,15.2519979476929
"260",16.2,20.70877632,64.94736842,77.15789474,"20",16.6469764709473,18.0548000335693,17.6785430908203
"261",20.3,18.75069491,72,75.30232558,"21",13.6743450164795,14.5430068969727,15.0695161819458
"262",9.2,15.37917283,74.15909091,74.11363636,"22",10.7647771835327,9.94692611694336,9.06986904144287
"263",7.6,14.52431818,74.06818182,73.97727273,"23",10.7111234664917,9.76625156402588,9.22214698791504
"264",10.3,14.81431722,74.78378378,73.16216216,"0",10.7115602493286,9.68283843994141,9.60261535644531
"265",13.6,17.22813044,74.65217391,72.56521739,"1",11.1294651031494,10.7151937484741,11.5387115478516
"266",6.4,20.28208276,60.48,79.48,"10",12.1298351287842,15.4916381835938,13.379919052124
"267",24,20.7164795,55.45454545,81.48484848,"11",19.1450042724609,16.8710784912109,17.5948047637939
"268",20.9,20.20914502,51.23809524,83.5,"12",17.2840023040771,16.1237831115723,16.1255569458008
"269",27.4,19.5145303,46.54545455,85.84090909,"13",15.8334350585938,14.3162174224854,17.6677303314209
"270",28.7,20.88322223,46.11111111,85.73333333,"14",21.5555667877197,18.4393196105957,21.2181529998779
"271",20.4,19.326,47.95555556,84.26666667,"15",16.85573387146,16.9631843566895,18.3141460418701
"272",19.5,15.17,49.33333333,84.4,"16",14.149621963501,15.0189113616943,15.6685762405396
"273",25.6,20.66933334,51.33333333,82.84444444,"17",19.3184833526611,20.6855926513672,21.2604923248291
