"","BAM","PA_CF_1","PA_RH","PA_Temp","BC","hour","Predicted_Corrected_1_pred"
"1090",16.4,31.6285,71.83333333,74.43333333,10.0225,"6",19.7081436546952
"1091",26,41.1005,68.86666667,76.06666667,14.16645,"7",25.8846679648681
"1092",18.8,37.512,66,77.56666667,10.1492,"8",23.0270724789694
"1093",21.6,26.0775,63.76666667,78.4,8.291366667,"9",17.6749000076233
"1094",17,22.61483334,61.16666667,79.86666667,7.476052632,"10",16.4095112500815
"1095",21.4,23.99183333,57.36666667,83.23333333,8.428745763,"11",18.0005113484425
"1096",25.8,27.58,56.93333333,82.8,12.08818333,"12",22.2083168780037
"1097",16,27.05383334,62.83333333,81.4,12.13955,"13",21.5309625396205
"1098",17.4,11.838,50.36666667,85.8,8.677433333,"14",13.9824904532698
"1099",11.1,11.0115,56.8,81.53333333,5.858833333,"15",11.7291439107771
"1100",11.3,16.49816667,66.93333333,79.26666667,8.545966667,"16",14.0477883970211
"1101",16.3,16.6615,64.63333333,78.43333333,13.77682143,"17",17.1604450729585
"1102",15.7,18.34,66.96666667,76.96666667,13.02123333,"18",17.1612239189256
"1103",17.5,23.73633334,69.3,75.8,12.62775,"19",18.8242948073929
"1104",17.4,22.969,70.46666667,75.83333333,10.50445,"20",17.1442770464892
"1105",14.8,17.5475,69.06666667,75.53333333,10.03045,"21",14.5239751243317
"1106",15.9,20.1855,69.16666667,75.16666667,10.59211667,"22",15.9889262823869
"1107",12.1,19.03483334,69.7,75,9.981303571,"23",14.9394517304674
"1108",14.1,17.39,70.86666667,74.46666667,7.55685,"0",12.4840363412753
"1109",10.1,16.3725,70.96666667,74.7,6.025883333,"1",11.5531122649715
"1110",10.9,17.59466667,71.66666667,74.8,5.5514,"2",11.7856364286851
"1111",12.1,16.19633333,71.83333333,74,5.486933333,"3",10.997670428811
"1112",13.6,15.57933334,71.73333333,74.2,7.144266667,"4",11.4886506461654
"1113",7.1,18.07783334,71.96666667,74.1,8.67045,"5",13.2089412246153
"1114",16.9,29.57,73.63333333,74,11.97685,"6",20.175999447895
"1115",22.5,32.43333334,72,74.93333333,13.98985714,"7",22.189660304526
"1116",12.6,33.84183334,70.96666667,75.53333333,10.74428333,"8",21.4124375821095
"1117",21.3,36.779,66.46666667,77.36666667,9.915233333,"9",22.483660245729
"1118",15.6,19.714,60.03333333,80.53333333,7.880816667,"10",15.6016901868337
"1119",11.5,15.30383334,54.6,83.13333333,7.38155,"11",14.3819308460737
"1120",9.7,15.3545,49.7,85.33333333,7.217183333,"12",15.025963490317
"1121",13.8,13.28466667,45.83333333,87.1,6.022316667,"13",14.3608768476606
"1122",16.3,12.8475,44.06666667,88,6.32885,"14",14.5993401085328
"1123",20.4,12.39633334,54.1,83.6,5.778964286,"15",12.6199797782269
"1124",9,17.98883334,58.33333333,81.8,7.512066667,"16",15.0351355616677
"1125",18.6,15.719,54.26666667,82.63333333,8.745766667,"17",15.3429286405663
"1126",15.3,16.055,62.23333333,78.23333333,8.313916667,"18",13.6289021102792
"1127",19.9,21.92033334,64.63333333,77.66666667,12.88091667,"19",18.8679538398632
"1128",25.2,28.625,67.7,76.86666667,16.10433333,"20",21.934795563527
"1129",15.3,20.96694828,69.33333333,76.3,12.29933929,"21",17.6859589355494
